title,description,date,image,cta_url,cta_type
Pasta fresca fatta a mano ogni giorno,"La nostra pasta fresca viene preparata ogni mattina con ingredienti selezionati. Farina di grano duro, uova fresche e la tradizione della cucina italiana in ogni piatto. Vieni a provarla oggi stesso.",2026-05-04 10:00,,,Learn more
Cucina italiana autentica nel cuore della città,"Dai tagliolini al ragù alle pappardelle al tartufo: la nostra cucina italiana porta in tavola sapori veri, ricette di famiglia tramandate da generazioni. Prenota il tuo tavolo.",2026-05-11 10:00,,,Book
5 formati di pasta fresca che devi assaggiare,"Tagliatelle, pappardelle, ravioli, tortelloni e maltagliati: ogni giorno freschi, ogni giorno diversi. Scopri il nostro menù e scegli il tuo formato preferito di pasta fresca.",2026-05-18 10:00,,,Learn more
Il segreto della pasta perfetta? La cucina italiana,"Cottura al dente, condimenti bilanciati, materie prime di qualità. Ogni piatto di pasta racconta la nostra passione per la cucina italiana. Vieni a scoprire la differenza.",2026-05-25 10:00,,,Learn more
Pasta fresca ripiena: i nostri ravioli del giorno,"Ogni settimana un ripieno diverso, sempre con pasta fresca tirata a mano. Ricotta e spinaci, carne brasata, ricotta e limone. Prenota per assicurarti il tuo posto.",2026-06-01 10:00,,,Book
Domenica è giorno di pasta — Prenota ora,"La domenica è il giorno della cucina italiana per eccellenza. Portate la famiglia e lasciate che il profumo della pasta fresca faccia il resto. Posti limitati, prenota in anticipo.",2026-06-08 10:00,,,Book
Pasta fresca artigianale: zero compromessi,"Niente pasta secca, niente semilavorati. Solo pasta fresca prodotta da noi ogni giorno. È questo l'impegno che prendiamo con ogni cliente che entra nel nostro ristorante.",2026-06-15 10:00,,,Learn more
Cucina italiana: le nostre specialità di stagione,"La cucina italiana cambia con le stagioni. Questo mese: pasta fresca con verdure primaverili, asparagi, piselli e fave. Un menù pensato per chi ama i sapori autentici.",2026-06-22 10:00,,,Learn more
Pasta fresca da asporto — Pronta in 10 minuti,"Non hai tempo di sederti ma vuoi comunque la nostra pasta fresca? Ordina da asporto: la prepariamo al momento. Cucina italiana di qualità, comodamente a casa tua.",2026-06-29 10:00,,,Order online
Impariamo insieme: corso di pasta fresca,Vuoi portare la cucina italiana in casa tua? Organizziamo corsi pratici di pasta fresca: impara a fare tagliatelle e ravioli con le nostre sfogline. Posti limitatissimi.,2026-07-06 10:00,,,Book
Perché la pasta fresca è diversa da quella secca,"Texture più morbida, cottura più rapida, sapore più intenso. La pasta fresca assorbe i condimenti in modo unico. Vieni a scoprire la differenza nella nostra cucina italiana.",2026-07-13 10:00,,,Learn more
Cucina italiana: menù degustazione pasta fresca,"Tre piatti di pasta fresca diversi, tre condimenti della tradizione italiana, un'esperienza completa. Il nostro menù degustazione è disponibile ogni sera su prenotazione.",2026-07-20 10:00,,,Book
